"Index","AAPL","NFLX","AMZN","K","O","PG","TSM","V"
"2010-03-01",6.31039905548096,9.95714282989502,6.22700023651123,30.9110527038574,14.0075206756592,41.7604293823242,6.38232946395874,19.5945072174072
"2010-03-02",6.30617427825928,9.85428619384766,6.27650022506714,31.1777439117432,14.002513885498,41.8919486999512,6.38232946395874,19.5109977722168
"2010-03-03",6.32066535949707,9.64999961853027,6.29449987411499,31.1540241241455,13.9975156784058,41.7867393493652,6.3246021270752,19.5899906158447
"2010-03-04",6.36233425140381,9.71571445465088,6.42649984359741,31.2014293670654,14.0475721359253,41.8656387329102,6.33101463317871,19.6441631317139
"2010-03-05",6.61113834381104,9.66428565979004,6.44549989700317,31.367374420166,14.2378120422363,41.8787803649902,6.49778938293457,19.9759273529053
"2010-03-08",6.61506414413452,9.81142902374268,6.50549983978271,31.1836700439453,14.3229160308838,41.5500068664551,6.56193351745605,20.4543857574463
"2010-03-09",6.73403120040894,9.99142932891846,6.44099998474121,31.07106590271,14.5782299041748,41.6223487854004,6.57476043701172,20.3460559844971
"2010-03-10",6.78898477554321,10.1828565597534,6.52549982070923,31.1184635162354,14.6282911300659,41.4316635131836,6.63249111175537,20.6552543640137
"2010-03-11",6.80891466140747,10.1700000762939,6.67899990081787,31.2251377105713,14.6282911300659,41.5368690490723,6.73512172698975,20.9305934906006
"2010-03-12",6.84212779998779,9.99714279174805,6.59100008010864,31.1066226959229,14.6032695770264,41.635498046875,6.62607717514038,21.0456981658936
"2010-03-15",6.75879144668579,9.94285678863525,6.55649995803833,31.1184635162354,14.6633424758911,41.885368347168,6.50420427322388,20.8561210632324
"2010-03-16",6.77720975875854,10.0900001525879,6.58949995040894,31.3081035614014,14.9787302017212,41.7735862731934,6.60041904449463,20.6845970153809
"2010-03-17",6.76724624633789,10.1314287185669,6.56699991226196,31.3851528167725,15.1239080429077,42.0892066955566,6.68380737304688,20.653003692627
"2010-03-18",6.78324747085571,10.0771427154541,6.63800001144409,31.3140468597412,15.2590742111206,41.9050941467285,6.63249111175537,20.3415431976318
"2010-03-19",6.71078109741211,10.0642862319946,6.51749992370605,31.6636981964111,14.9987630844116,41.9774208068848,6.47213220596313,20.0503959655762
"2010-03-22",6.78626918792725,10.4128570556641,6.52349996566772,32.0962944030762,15.2340526580811,42.003719329834,6.52986192703247,20.1406784057617
"2010-03-23",6.89527225494385,10.4228572845459,6.46299982070923,32.4518737792969,15.1289205551147,42.4311332702637,6.58759164810181,20.3076915740967
"2010-03-24",6.92576789855957,10.3385705947876,6.40199995040894,32.3629684448242,15.3391809463501,41.8261871337891,6.62607717514038,20.0300941467285
"2010-03-25",6.84363794326782,10.5057144165039,6.73649978637695,32.1436920166016,15.2791013717651,41.8327560424805,6.68380737304688,20.4047374725342
"2010-03-26",6.97196626663208,10.6142864227295,6.75299978256226,31.8592529296875,15.4042663574219,41.8787803649902,6.64532041549683,20.368631362915
"2010-03-29",7.0169563293457,10.5571432113647,6.75600004196167,31.9185161590576,15.4393062591553,41.9050941467285,6.7607798576355,20.3663673400879
